step,active_vehicles,waiting_time,halting,speed
0,1001,0.0,18,0.0
1,1001,0.0,0,1.9174077992185228
2,1001,0.0,0,3.991054890081029
3,1001,0.0,18,2.9433841839917783
4,1001,0.0,0,4.951108442662229
5,1001,0.0,0,6.936363900567428
6,1001,0.0,18,5.784803970485142
7,1001,0.0,0,7.4791647630546025
8,1001,0.0,0,8.938666934295695
9,1001,0.0,10,8.58060050493067
10,1001,0.0,2,9.37607223014311
11,1001,1.0,2,10.329141392652506
12,1001,2.0,9,10.019335873085767
13,1001,3.0,5,10.396663646852863
14,1001,6.0,4,11.170516850398435
15,1001,11.0,14,10.666829172937508
16,1001,16.0,7,11.137931300519346
17,1001,22.0,7,11.626195366337223
18,1001,31.0,18,11.110650608135481
19,1001,41.0,11,11.489354892067336
20,1001,55.0,16,11.554402753113768
21,1001,69.0,22,10.998027716496974
22,1001,86.0,17,11.188114021541917
23,1001,106.0,21,11.317714257130708
24,1001,127.0,31,10.650747059463258
25,1001,149.0,23,10.944722894400043
26,1001,173.0,25,11.197344869001238
27,1001,199.0,33,10.708510292315923
28,1001,227.0,29,10.878432810002941
29,1001,258.0,33,11.058720585375726
30,1000,291.0,38,10.903291558769162
31,1000,326.0,36,10.91490665250104
32,1000,362.0,37,10.968730878834855
33,1000,400.0,45,10.50578671972033
34,999,441.0,41,10.56723216893361
35,999,484.0,45,10.471328762312327
36,999,522.0,51,10.050125447412515
37,999,560.0,45,9.932732218333571
38,999,600.0,46,9.789005090692042
39,999,644.0,54,9.395564147693827
40,999,691.0,52,9.34959387537619
41,999,743.0,54,9.369940482462205
42,999,798.0,60,9.136283613928022
43,999,855.0,58,9.219631269794258
44,999,916.0,63,9.310281588456487
45,999,979.0,69,9.095133737323044
46,999,1042.0,64,9.084971554144614
47,999,1107.0,66,9.029520507086845
48,999,1175.0,74,8.7505124809175
49,999,1244.0,71,8.713709053435409
50,999,1317.0,75,8.626836057404228
51,999,1391.0,79,8.550177563846274
52,999,1461.0,74,8.575752875853125
53,999,1536.0,76,8.588972800984395
54,998,1614.0,83,8.30711574643424
55,998,1695.0,83,8.257697489837637
56,998,1778.0,84,8.231267016750595
57,998,1864.0,90,7.974063088390243
58,998,1953.0,89,7.908626569456132
59,998,2043.0,92,7.780293479344494
60,998,2088.0,94,7.604943728863366
61,998,2137.0,93,7.71255296856854
62,998,2187.0,97,7.599343053501974
63,998,2240.0,100,7.303431430143192
64,998,2296.0,96,7.31680288476136
65,997,2356.0,99,7.323149896589105
66,997,2429.0,105,7.196370521025695
67,997,2517.0,101,7.000288448981661
68,997,2608.0,103,6.776600372300727
69,997,2714.0,111,6.4756127399735
70,997,2822.0,112,6.265348067278243
71,996,2935.0,115,6.1536812592177785
72,996,2993.0,120,6.115352378169993
73,996,3088.0,123,6.077082617603348
74,996,3172.0,122,6.108064396333943
75,996,3264.0,125,5.994547787972618
76,995,3360.0,124,5.822429323604453
77,995,3461.0,129,5.67180956977549
78,995,3572.0,135,5.579501064440749
79,995,3629.0,138,5.573832488824283
80,995,3691.0,141,5.511698573550623
81,994,3759.0,146,5.406209487341328
82,994,3806.0,146,5.295116065156784
83,993,3862.0,147,5.087084500079184
84,993,3926.0,151,4.862512026936267
85,993,4000.0,151,4.760045068365644
86,992,4083.0,158,4.599651213827957
87,992,4229.0,163,4.523264596876491
88,992,4321.0,159,4.520829087220551
89,992,4372.0,163,4.422129525723958
90,992,4451.0,165,4.2820941860746
91,992,4560.0,166,4.243475710969912
92,991,4692.0,167,4.111561918543874
93,991,4850.0,170,4.083420116858053
94,991,5015.0,171,4.067955123939564
95,991,5188.0,181,3.9927609384104197
96,991,5363.0,185,3.929722524287206
97,991,5547.0,185,3.905781053435558
98,991,5719.0,193,3.8579071870825103
99,991,5905.0,194,3.801065937310625
100,990,6096.0,195,3.8023955585822753
101,990,6293.0,203,3.784093361833088
102,989,6492.0,207,3.7860266784071577
103,989,6701.0,209,3.804926240286085
104,989,6909.0,214,3.8209307144128926
105,988,7123.0,219,3.7585212618273163
106,988,7343.0,220,3.815470022468161
107,988,7567.0,226,3.7976716056464985
108,988,7794.0,232,3.7678827345672956
109,988,8025.0,231,3.733269898942391
110,986,8258.0,235,3.5884131067309744
111,986,8494.0,241,3.4339322897209956
112,985,8734.0,241,3.2963856962275995
113,984,8975.0,242,3.265617079407338
114,984,9224.0,253,3.2352824432543916
115,984,9475.0,253,3.249798841139783
116,984,9727.0,253,3.2486228512147055
117,984,9985.0,262,3.1960264583332236
118,984,10244.0,261,3.166639224892794
119,984,10505.0,262,3.161251604949034
120,983,10770.0,270,3.0589503721357874
121,983,11036.0,268,3.013433769049265
122,983,11307.0,273,2.996638008114427
123,983,11581.0,278,2.950900454865595
124,983,11857.0,278,2.927990760546562
125,983,12137.0,282,2.879220569044939
126,983,12421.0,288,2.805593690567944
127,983,12708.0,289,2.7375591794989136
128,983,12999.0,294,2.6635569217316206
129,983,13294.0,298,2.620246239658813
130,983,13557.0,302,2.5901225368111853
131,983,13772.0,298,2.552424806353369
132,981,13925.0,301,2.4481078513700627
133,981,14150.0,303,2.422729952432355
134,981,14226.0,300,2.402032327221068
135,980,14319.0,302,2.300065650670422
136,980,14412.0,299,2.3119936844444355
137,980,14508.0,298,2.293610819494624
138,979,14671.0,303,2.1869242857323465
139,979,14837.0,304,2.1795905775018642
140,979,15038.0,304,2.156943294991032
141,979,15243.0,304,2.1516114937834465
142,979,15410.0,306,2.1278546569054617
143,979,15615.0,306,2.1265135267124555
144,978,15822.0,310,2.08118473856332
145,977,16033.0,310,2.012074547174583
146,977,16312.0,312,1.9461776700086655
147,977,16534.0,318,1.846442869183058
148,977,16820.0,318,1.7853540683061677
149,977,16997.0,319,1.7573619613249476
150,976,17244.0,327,1.6400150111408376
151,976,17496.0,330,1.5875136394652225
152,976,17531.0,325,1.554894516420878
153,976,17729.0,328,1.5687906471245492
154,976,17918.0,328,1.5899822161840993
155,975,18118.0,331,1.5737015925598652
156,975,18320.0,332,1.5642063066841467
157,974,18530.0,332,1.5941643819209366
158,974,18784.0,330,1.6539566211057435
159,974,19061.0,333,1.640958515719454
160,974,19326.0,330,1.608878910617997
161,974,19601.0,331,1.590425514219182
162,973,19883.0,332,1.5390746848551318
163,973,20167.0,333,1.50067119090823
164,972,20502.0,335,1.4332933695130448
165,972,20790.0,339,1.3791621051834375
166,972,21083.0,340,1.3514023799105483
167,972,21383.0,341,1.3102133007842522
168,972,21714.0,343,1.295517480805565
169,972,22015.0,342,1.291548763685643
170,972,22320.0,344,1.2633748843825066
171,971,22640.0,348,1.1977227521379485
172,971,22950.0,347,1.1856908700062954
173,970,23287.0,349,1.116921010288276
174,970,23601.0,351,1.1094421479572842
175,969,23922.0,352,1.0701884253236977
176,969,24243.0,354,1.0795025668369003
177,969,24568.0,356,1.0108129200369416
178,968,24913.0,356,0.941601132106073
179,966,25268.0,356,0.8537779408320739
