step,active_vehicles,waiting_time,halting,speed,reward
0,1001,0.0,8,0.0,-5.2168
1,1001,4.0,4,0.7543875599483727,-3.3511838117419606
2,1001,8.0,4,1.6706096480455017,-3.198796516051023
3,1001,12.0,8,1.3266251915265457,-6.380351562987769
4,1001,16.0,4,2.275402922120702,-4.7883672959990236
5,1001,20.0,4,3.2356975380607764,-4.945450938358334
6,1001,24.0,8,2.774688101906028,-8.19153491551295
7,1001,28.0,4,3.588764698188033,-6.209971893477441
8,1001,32.0,4,4.401341011871564,-6.566903471873915
9,1001,36.0,8,3.7060793872948863,-9.476457485648098
10,1001,40.0,4,4.252582419449333,-8.106736520498107
11,1001,22.0,2,8.075411477620625,-4.177932618957903
12,1001,24.0,6,7.354247421354504,-7.112610610615175
13,1001,26.0,3,6.167821421779713,-8.598391913363418
14,1001,0.0,0,15.178688932646864,1.454501874514754
15,1001,0.0,4,14.584891363156611,-1.8888469478781995
16,1001,0.0,0,14.88898491964759,-0.060577545668864974
17,1001,2.0,2,14.989301594748518,-0.30080404838254027
18,1001,4.0,6,10.902809598772162,-4.902488239973875
19,1001,7.0,4,12.705150353588891,-1.6723377936368846
20,1001,11.0,6,14.445015315357312,-3.9833091335070203
21,1001,16.0,8,10.519653177633774,-5.7334430630780115
22,1001,22.0,7,12.323107050194515,-3.026901612363319
23,1001,29.0,8,14.073906601749204,-1.7701227891899172
24,1001,36.0,10,13.786828995113142,-5.540494622227456
25,1001,44.0,8,14.024685513301286,-6.078286329012817
26,1001,54.0,11,14.178043249049491,-6.436107827126937
27,1001,64.0,12,13.874462763894257,-8.698528067218556
28,1001,74.0,10,14.064579650701345,-7.6932615882601345
29,1001,85.0,12,14.00276385040197,-6.649041856760921
30,1001,97.0,14,13.457259428176553,-7.643902737054671
31,1001,110.0,14,13.365544761946788,-7.741690267368281
32,1001,125.0,18,6.31253535868461,-16.041638147608012
33,1001,142.0,18,12.917970939220236,-10.541896295896205
34,1000,159.0,18,13.165160975414423,-12.226012363471826
35,1000,159.0,21,6.317428350979161,-19.19268723061528
36,1000,162.0,20,12.981531302992387,-11.773814421379544
37,1000,166.0,21,12.884906090684705,-11.986760449368976
38,1000,172.0,21,6.085633385562532,-18.421750946566387
39,1000,178.0,20,12.73916076795783,-12.274026144264486
40,1000,187.0,21,12.59356142898628,-11.457402358236786
41,1000,197.0,21,9.060921168954913,-15.549860899699347
42,1000,219.0,24,8.885487283601794,-18.75833783337646
43,1000,232.0,24,12.242149755679002,-14.643964741259074
44,1000,218.0,22,12.259593301286333,-13.997802817181306
45,1000,206.0,23,8.700430592084304,-18.03653104946214
46,1000,196.0,22,12.155040675042638,-15.574912710021394
47,1000,187.0,21,12.176172858984652,-13.86939462043928
48,998,185.0,22,8.527847609672303,-18.267412421754848
49,998,186.0,20,12.035414524076957,-14.084509808465114
50,998,188.0,20,12.098290253208054,-14.326764925726135
51,998,192.0,22,8.488126630351815,-17.289100811148913
52,998,213.0,21,11.982035288313785,-15.001219699405922
53,998,219.0,24,12.08339365783188,-16.90083406163358
54,998,227.0,25,8.527385015739654,-19.113843063057807
55,998,237.0,23,12.074565403014413,-15.906125061970785
56,998,261.0,25,8.624188715957782,-19.88659126242576
57,998,287.0,29,8.500700542464337,-23.019258403974415
58,998,315.0,28,8.54333510524594,-22.445192647089776
59,998,345.0,30,8.603019330640787,-23.801462425882153
60,997,377.0,34,8.55990092039233,-25.391714199403477
